0.说明,#genre#
[粤语]RTHK31 ★,https://www.rthk.hk/feeds/dtt/rthktv31_https.m3u8
[粤语]RTHK32 ★,https://www.rthk.hk/feeds/dtt/rthktv32_https.m3u8
[粤语]开电视,http://media.fantv.hk/m3u8/archive/channel2.m3u8
[粤语]亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
[粤语]澳门有线I,http://202.175.127.77/live/show/ch1/index.m3u8
[粤语]澳门有线II,http://202.175.127.77/live/show/ch2/index.m3u8
[粤语]澳门有线III,http://202.175.127.77/live/show/ch3/index.m3u8
[粤语]澳视,http://61.244.22.4/ch3/ch3.live/playelist.m3u8
[粤语]澳视澳门,http://61.244.22.4/ch1/ch1.live/playelist.m3u8
[粤语]澳亚卫视,http://stream.mastvnet.com/MASTV/sd/live.m3u8
[粤语]莲花卫视,http://live-rtmp.lotustv.duolaibo.cn/lotustv/5562e9e4d409d24c9600075c.m3u8
[粤语]莲花卫视 FHD,http://220.158.149.14:9999/live/TV00000000000000000069@HHZT;LIVE
M.新闻|时政|财经,#genre#
[国语]凤凰资讯 官方,http://liveali.ifeng.com/live/FHZX.m3u8
[国语]凤凰资讯 FHD,http://220.158.149.14:9999/live/TV00000000000000000066@HHZT;LIVE
[国语]TVBS新闻 FHD ★,http://seb.sason.top/tv/tvbsxw_fhd.m3u8
[国语]东森财经新闻 FHD ★,http://seb.sason.top/tv/dscjxw_fhd.m3u8
[国语]东森新闻 FHD ★,http://seb.sason.top/tv/dsxw_fhd.m3u8
[国语]华视新闻 FHD ★,http://seb.sason.top/tv/hsxw_fhd.m3u8
[国语]民视新闻 FHD ★,http://seb.sason.top/tv/msxw_fhd.m3u8
[国语]三立iNews FHD ★,http://seb.sason.top/tv/slinews_fhd.m3u8
[国语]三立Live FHD ★,http://seb.sason.top/tv/sllive_fhd.m3u8
[国语]台视新闻 FHD ★,http://seb.sason.top/tv/tsxw_fhd.m3u8
[国语]中视新闻 FHD ★,http://seb.sason.top/tv/zsxw_fhd.m3u8
[国语]中天新闻 FHD ★,http://seb.sason.top/tv/ztxw_fhd.m3u8
[国语]TVBS新闻 HD ★,http://seb.sason.top/tv/tvbsxw.m3u8
[国语]东森财经新闻 HD ★,http://seb.sason.top/tv/dscjxw.m3u8
[国语]东森新闻 HD ★,http://seb.sason.top/tv/dsxw.m3u8
[国语]华视新闻 HD ★,http://seb.sason.top/tv/hsxw.m3u8
[国语]民视新闻 HD ★,http://seb.sason.top/tv/msxw.m3u8
[国语]三立iNews HD ★,http://seb.sason.top/tv/slinews.m3u8
[国语]三立Live HD ★,http://seb.sason.top/tv/sllive.m3u8
[国语]台视新闻 HD ★,http://seb.sason.top/tv/tsxw.m3u8
[国语]中视新闻 HD ★,http://seb.sason.top/tv/zsxw.m3u8
[国语]中天新闻 HD ★,http://seb.sason.top/tv/ztxw.m3u8
[国语]台视财经 ★,https://usb.bozztv.com/ssh101/TTVHD/TTVHD/index.m3u8
[国语]壹新闻 ★,https://usb.bozztv.com/ssh101/NEXTTVHD/NEXTTVHD/playlist.m3u8
[粤语]TVB新闻,http://hls.globaliptv.ml/tvbnews.php
[粤语]有线财经资讯 ★,http://wowgua.com/live/channel_108.m3u8
[粤语]有线新闻,https://ottproxy2.mott.tv/livehls/MOB-SCC/02.m3u8
[粤语]有线新闻 ★,https://icable.cdn.utvhk.com/live/4cc64fb362004798b222978935590b2c/1980ba5c365e4f049f99aced1277303c.m3u8
[粤语]东网新闻,https://streama-news2.on.cc/src/remote1_hd.smil/playlist.m3u8
[粤语]东网直播,https://stream-sd2.on.cc/src/smil:remote1_hd.smil/playlist.m3u8
[粤语]香港01,https://live.cdn.hk01.com/origin/smil:01news.smil/playlist.m3u8
[粤语]澳视资讯,http://61.244.22.4/ch5/info_ch5.live/playlist.m3u8
N.综艺|电影|剧集,#genre#
[国语]TVBS欢乐,rtmp://59.124.75.156/sat/tv421
[国语]凤凰电影,rtmp://58.200.131.2:1935/livetv/fhdy
[国语]Channel V,rtmp://ivi.bupt.edu.cn/livetv/channelv
[国语]大爱I,http://tv1.wanfudaluye.com/live/live.m3u8
[国语]大爱II,https://tv2.wanfudaluye.com/live/live.m3u8
[国语]大爱海外,https://tv3.wanfudaluye.com/live/live.m3u8
[粤语]有线综合娱乐,http://wowgua.com/live/channel_301.m3u8
[英语中字]CNEX,http://220.158.149.14:9999/live/TV00000000000000000083@HHZT;LIVE
[英语中字]WarnerTV,http://192.200.97.170:8080/ZZ_huanadianying/ZZ_huanadianying.m3u8
O.记录|科教|旅游,#genre#
[国语]阳光卫视,https://stream.chinasuntv.com/680k/mid_video_index.m3u8
[英语中字]Discovery (SD),rtmp://58.200.131.2:1935/livetv/discovery
[英语中字]国家地理 (SD),rtmp://ivi.bupt.edu.cn/livetv/natlgeo
[英语]NationalGeographic ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo/05.m3u8
[英语]NationalGeographicPeople ★,http://livecdnh1.tvanywhere.ae/hls/nat_geo_people/05.m3u8
P.体育,#genre#
[国语]纬来精采 ★,https://usb.bozztv.com/ssh101/ttvbHD/ttvbHD/index.m3u8
[国语]纬来体育,rtmp://59.124.75.156/sat/tv721
[国语]纬来育乐,rtmp://59.124.75.156/sat/tv701
[国语]博斯魅力 ★,http://ms003.happytv.com.tw/live/OcScNdWHvBx5P4w3/index.m3u8
